,original,prediction
31111,2014.0,1359.0
31112,1065.0,2190.0
31113,1493.0,2062.0
31114,5244.0,3446.5
31115,1107.0,1184.0
31116,1441.0,1250.0
31117,1436.0,2325.0
31118,2537.0,1522.0
31119,5843.0,5742.0
31120,2760.0,2187.0
31121,2031.0,1701.0
31122,7022.0,4411.0
31123,7755.0,2196.0
31124,17789.0,1957.0
31125,2731.0,1032.0
31126,7166.0,3421.5
31127,23081.0,16001.0
31128,10464.0,2719.0
31129,13493.0,8552.0
31130,7796.0,7026.0
31131,1308.0,2248.5
31132,2171.0,1111.0
31133,12394.0,5625.0
31134,5072.0,1910.0
31135,140804.0,73508.0
31136,1001.0,1455.0
31137,19258.0,15245.0
31138,25783.0,14511.0
31139,13222.0,8931.666666666666
31140,4547.0,1341.0
31141,2463.0,2603.0
31142,1398.0,1230.5
31143,1200.0,1017.0
31144,3357.0,2720.0
31145,3766.0,3087.3333333333335
31146,1021.0,1017.0
31147,4415.0,1163.0
31148,1852.0,1032.0
31149,1109.0,1093.0
31150,1241.0,1093.0
31151,4614.0,5234.0
31152,34635.0,17729.5
31153,3882.0,1574.0
31154,2706.0,4389.5
31155,2937.0,2194.0
31156,6932.0,6037.0
31157,80258.0,52052.0
31158,8287.0,2556.0
31159,3020.0,1032.0
31160,1040.0,1017.0
31161,2404.0,1453.0
31162,13998.0,8064.5
31163,1378.0,1089.0
31164,16462.0,9570.0
31165,1104.0,1118.0
31166,17504.0,11021.5
31167,2418.0,2119.0
31168,3827.0,3366.0
31169,2747.0,2033.0
31170,13877.0,7401.5
31171,1982.0,1690.0
31172,4809.0,3385.5
31173,1510.0,1319.0
31174,2226.0,1478.0
31175,6230.0,2428.5
31176,105062.0,74453.0
31177,11188.0,6416.0
31178,1961.0,1445.0
31179,1643.0,1137.0
31180,8645.0,4750.5
31181,1009.0,1075.0
31182,2761.0,2444.0
31183,9438.0,5698.0
31184,69852.0,63324.5
31185,2399.0,1631.0
31186,1156.0,1236.0
31187,15972.0,11616.5
31188,4384.0,2625.0
31189,9472.0,6257.5
31190,1740.0,1515.0
31191,2403.0,3154.0
31192,2830.0,2525.0
31193,15940.0,7462.0
31194,1463.0,1211.0
31195,2606.0,3056.0
31196,84213.0,109506.0
31197,6286.0,2681.5
31198,4106.0,2535.0
31199,11868.0,14679.0
31200,1114.0,1105.0
31201,1492.0,1608.0
31202,4331.0,4911.0
31203,11588.0,11642.0
31204,4586.0,6302.0
31205,4687.0,4543.0
31206,1916.0,2005.0
31207,5136.0,3049.0
31208,2087.0,1827.0
31209,33255.0,22524.0
31210,10509.0,12851.0
31211,19421.0,18418.0
31212,1329.0,1035.0
31213,3644.0,1719.0
31214,3817.0,2281.0
31215,7526.0,3408.0
31216,1641.0,1786.0
31217,25683.0,13424.0
31218,5613.0,10603.0
31219,2499.0,3149.0
31220,1333.0,1850.0
31221,3758.0,6396.0
31222,1274.0,1233.0
31223,1201.0,1353.0
31224,37911.0,47322.0
31225,2174.0,1948.0
31226,8131.0,5561.0
31227,4456.0,7139.5
31228,3480.0,2598.0
31229,1003.0,1185.0
31230,15124.0,13195.0
31231,2358.0,2113.0
31232,3876.0,3928.0
31233,3478.0,5301.0
31234,1457.0,1003.0
31235,1288.0,1606.0
31236,3096.0,2389.0
31237,19941.0,17115.0
31238,7592.0,8772.0
31239,57142.0,108201.0
31240,93495.0,158499.0
31241,2187.0,1989.0
31242,15478.0,16237.0
31243,7708.0,10286.0
31244,2119.0,2720.5
31245,6176.0,3367.0
31246,2432.0,2874.0
31247,2323.0,1132.0
31248,10789.0,12715.0
31249,1146.0,1091.0
31250,4974.0,1646.0
31251,4096.0,4141.0
31252,16448.0,19091.0
31253,1798.0,1541.5
31254,5843.0,7972.0
31255,12451.0,14276.0
